bag_id,bag_size,person_idx,relationship,year_of_birth,education_num,survey_duration_mins,native_country,race,interview_mode,capital_gain,currency_code,education,capital_loss,survey_year,processing_flag,hours_per_week,workclass,capital_activity_flag,net_capital_asset,is_adult_flag,annual_hours_est,interviewer_id,occupation,sex,poverty_line_usd,education_tier,marital_status,label
1280,4,0,Husband,1966,9,57,United-States,Amer-Indian-Eskimo,in-person,0,USD,HS-grad,0,1994,1.0,40,Private,0,0,1,2080,1387,Handlers-cleaners,Male,15141,Secondary,Married-civ-spouse,lower
1251,7,1,Husband,1942,9,46,El-Salvador,White,in-person,0,USD,HS-grad,0,1994,1.0,45,Private,0,0,1,2340,1480,Craft-repair,Male,15141,Secondary,Married-civ-spouse,lower
18,7,1,Husband,1945,13,57,United-States,White,in-person,7298,USD,Bachelors,0,1994,1.0,40,Federal-gov,1,7298,1,2080,1473,Exec-managerial,Male,15141,Higher,Married-civ-spouse,lower
2228,6,5,Not-in-family,1966,13,39,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,48,Self-emp-not-inc,0,0,1,2496,1031,Sales,Female,15141,Higher,Never-married,middle
1237,7,0,Husband,1947,13,31,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,50,Private,0,0,1,2600,1045,Prof-specialty,Male,15141,Higher,Married-civ-spouse,lower
3545,7,5,Husband,1959,9,48,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,35,Private,0,0,1,1820,1312,Handlers-cleaners,Male,15141,Secondary,Married-civ-spouse,upper
1938,6,5,Wife,1945,9,54,United-States,White,in-person,0,USD,HS-grad,1977,1994,1.0,25,Private,1,-1977,1,1300,1071,Adm-clerical,Female,15141,Secondary,Married-civ-spouse,middle
2864,6,3,Husband,1953,9,45,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,50,Private,0,0,1,2600,1350,Transport-moving,Male,15141,Secondary,Married-civ-spouse,middle
3455,7,4,Husband,1964,9,54,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,50,Local-gov,0,0,1,2600,1160,Transport-moving,Male,15141,Secondary,Married-civ-spouse,upper
3834,4,0,Unmarried,1963,9,42,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,Private,0,0,1,2080,1146,Exec-managerial,Female,15141,Secondary,Divorced,upper
36,6,0,Husband,1950,13,42,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,55,Private,0,0,1,2860,1330,Transport-moving,Male,15141,Higher,Married-civ-spouse,lower
2761,6,0,Not-in-family,1965,9,51,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,50,Private,0,0,1,2600,1156,Prof-specialty,Female,15141,Secondary,Never-married,middle
4181,3,0,Unmarried,1969,13,64,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,40,Local-gov,0,0,1,2080,1117,Prof-specialty,Female,15141,Higher,Divorced,upper
1303,7,3,Husband,1962,11,40,United-States,White,in-person,0,USD,Assoc-voc,0,1994,1.0,40,Private,0,0,1,2080,1484,Other-service,Male,15141,Secondary,Married-civ-spouse,lower
60,5,1,Unmarried,1952,13,34,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,60,Private,0,0,1,3120,1484,Other-service,Male,15141,Higher,Divorced,lower
930,4,1,Own-child,1976,10,37,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,20,Private,0,0,1,1040,1352,Other-service,Female,15141,Secondary,Never-married,lower
1754,6,5,Other-relative,1967,13,34,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,15,Private,0,0,1,780,1175,Prof-specialty,Female,15141,Higher,Never-married,middle
2720,6,4,Husband,1934,5,43,United-States,White,in-person,0,USD,9th,0,1994,1.0,45,Private,0,0,1,2340,1179,Farming-fishing,Male,15141,Primary,Married-civ-spouse,middle
4064,5,4,Husband,1954,9,62,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,60,Self-emp-inc,0,0,1,3120,1044,Exec-managerial,Male,15141,Secondary,Married-civ-spouse,upper
4279,5,1,Husband,1949,9,11,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,52,Private,0,0,1,2704,1431,Machine-op-inspct,Male,15141,Secondary,Married-civ-spouse,upper
456,7,2,Husband,1950,13,37,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,40,Private,0,0,1,2080,1321,Exec-managerial,Male,15141,Higher,Married-civ-spouse,lower
2075,7,2,Husband,1960,14,68,United-States,White,in-person,0,USD,Masters,0,1994,1.0,55,Private,0,0,1,2860,1035,Prof-specialty,Male,15141,Higher,Married-civ-spouse,middle
2644,5,4,Husband,1947,10,39,United-States,White,in-person,0,USD,Some-college,1887,1994,1.0,40,Local-gov,1,-1887,1,2080,1343,Transport-moving,Male,15141,Secondary,Married-civ-spouse,middle
1893,5,0,Husband,1946,9,35,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,Private,0,0,1,2080,1117,Machine-op-inspct,Male,15141,Secondary,Married-civ-spouse,middle
554,5,3,Husband,1960,15,51,United-States,White,in-person,15024,USD,Prof-school,0,1994,1.0,40,Self-emp-inc,1,15024,1,2080,1228,Prof-specialty,Male,15141,Higher,Married-civ-spouse,lower
711,4,2,Not-in-family,1963,9,45,United-States,Black,in-person,0,USD,HS-grad,0,1994,1.0,60,Private,0,0,1,3120,1373,Farming-fishing,Female,15141,Secondary,Never-married,lower
730,7,4,Unmarried,1944,11,39,Ecuador,White,in-person,0,USD,Assoc-voc,0,1994,1.0,40,State-gov,0,0,1,2080,1143,Adm-clerical,Female,15141,Secondary,Divorced,lower
2486,6,2,Not-in-family,1964,10,52,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Federal-gov,0,0,1,2080,1325,Craft-repair,Male,15141,Secondary,Never-married,middle
2056,7,2,Husband,1944,10,44,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1422,Transport-moving,Male,15141,Secondary,Married-civ-spouse,middle
2480,7,5,Husband,1941,10,37,United-States,Other,in-person,0,USD,Some-college,0,1994,1.0,60,Private,0,0,1,3120,1164,Transport-moving,Male,15141,Secondary,Married-civ-spouse,middle
1949,7,3,Husband,1955,9,27,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,50,Private,0,0,1,2600,1213,Sales,Male,15141,Secondary,Married-civ-spouse,middle
907,6,2,Own-child,1973,9,51,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,32,Private,0,0,1,1664,1263,Other-service,Female,15141,Secondary,Never-married,lower
239,7,2,Husband,1961,13,39,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,50,Private,0,0,1,2600,1246,Exec-managerial,Male,15141,Higher,Married-civ-spouse,lower
3624,5,3,Not-in-family,1947,8,45,United-States,Black,in-person,0,USD,12th,0,1994,1.0,40,Private,0,0,1,2080,1422,Handlers-cleaners,Male,15141,Primary,Divorced,upper
2477,7,3,Wife,1939,15,52,United-States,White,in-person,0,USD,Prof-school,0,1994,1.0,10,Self-emp-not-inc,0,0,1,520,1223,Prof-specialty,Female,15141,Higher,Married-civ-spouse,middle
2884,5,3,Other-relative,1973,10,47,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,64,Private,0,0,1,3328,1312,Sales,Male,15141,Secondary,Never-married,middle
1141,5,3,Not-in-family,1952,10,55,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Self-emp-not-inc,0,0,1,2080,1301,Exec-managerial,Male,15141,Secondary,Never-married,lower
2183,5,0,Husband,1934,6,45,United-States,White,in-person,0,USD,10th,1977,1994,1.0,44,Self-emp-inc,1,-1977,1,2288,1287,Exec-managerial,Male,15141,Primary,Married-civ-spouse,middle
652,4,2,Unmarried,1964,9,49,United-States,Black,in-person,0,USD,HS-grad,0,1994,1.0,38,Private,0,0,1,1976,1261,Other-service,Female,15141,Secondary,Married-spouse-absent,lower
1982,7,4,Husband,1941,9,59,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,35,Private,0,0,1,1820,1031,Exec-managerial,Male,15141,Secondary,Married-civ-spouse,middle
777,5,1,Husband,1946,10,53,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1236,Craft-repair,Male,15141,Secondary,Married-civ-spouse,lower
1482,4,2,Not-in-family,1962,9,64,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,45,Private,0,0,1,2340,1378,Machine-op-inspct,Male,15141,Secondary,Never-married,middle
4146,6,2,Husband,1950,9,41,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,State-gov,0,0,1,2080,1113,Protective-serv,Male,15141,Secondary,Married-civ-spouse,upper
4166,7,6,Husband,1936,4,51,United-States,White,in-person,0,USD,7th-8th,0,1994,1.0,40,Self-emp-not-inc,0,0,1,2080,1339,Transport-moving,Male,15141,Primary,Married-civ-spouse,upper
1024,7,0,Own-child,1976,8,38,United-States,White,in-person,0,USD,12th,0,1994,1.0,25,Private,0,0,1,1300,1427,Other-service,Male,15141,Primary,Never-married,lower
3243,7,3,Husband,1927,13,31,United-States,White,in-person,0,USD,Bachelors,2392,1994,1.0,75,Self-emp-inc,1,-2392,1,3900,1195,Exec-managerial,Male,15141,Higher,Married-civ-spouse,upper
3119,5,1,Husband,1944,9,44,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,Private,0,0,1,2080,1182,Craft-repair,Male,15141,Secondary,Married-civ-spouse,middle
96,6,0,Not-in-family,1956,9,27,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,60,Private,0,0,1,3120,1346,Prof-specialty,Male,15141,Secondary,Never-married,lower
101,4,1,Unmarried,1944,9,63,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,35,Private,0,0,1,1820,1022,Adm-clerical,Female,15141,Secondary,Divorced,lower
2988,4,0,Husband,1936,10,26,United-States,White,in-person,7688,USD,Some-college,0,1994,1.0,45,Private,1,7688,1,2340,1129,Exec-managerial,Male,15141,Secondary,Married-civ-spouse,middle
3731,7,2,Not-in-family,1972,7,44,United-States,White,in-person,0,USD,11th,0,1994,1.0,40,Private,0,0,1,2080,1443,Farming-fishing,Male,15141,Primary,Never-married,upper
3527,6,2,Husband,1955,5,48,United-States,White,in-person,0,USD,9th,0,1994,1.0,40,Federal-gov,0,0,1,2080,1408,Machine-op-inspct,Male,15141,Primary,Married-civ-spouse,upper
1928,7,0,Not-in-family,1952,9,36,United-States,Black,in-person,0,USD,HS-grad,0,1994,1.0,40,Federal-gov,0,0,1,2080,1365,Adm-clerical,Male,15141,Secondary,Divorced,middle
777,5,2,Husband,1953,4,49,United-States,White,in-person,0,USD,7th-8th,0,1994,1.0,36,Private,0,0,1,1872,1132,Farming-fishing,Male,15141,Primary,Married-civ-spouse,lower
1469,7,6,Husband,1961,13,48,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,55,Private,0,0,1,2860,1360,Sales,Male,15141,Higher,Married-civ-spouse,middle
4209,5,1,Husband,1920,12,61,United-States,White,in-person,0,USD,Assoc-acdm,0,1994,1.0,30,Self-emp-not-inc,0,0,1,1560,1079,Exec-managerial,Male,15141,Secondary,Married-civ-spouse,upper
738,6,1,Not-in-family,1967,12,27,United-States,White,in-person,3325,USD,Assoc-acdm,0,1994,1.0,40,Private,1,3325,1,2080,1297,Exec-managerial,Male,15141,Secondary,Never-married,lower
934,3,0,Husband,1944,15,59,United-States,White,in-person,0,USD,Prof-school,2415,1994,1.0,60,Self-emp-inc,1,-2415,1,3120,1008,Prof-specialty,Male,15141,Higher,Married-civ-spouse,lower
4200,6,1,Not-in-family,1948,16,28,United-States,White,in-person,0,USD,Doctorate,1564,1994,1.0,50,Federal-gov,1,-1564,1,2600,1075,Prof-specialty,Female,15141,Higher,Never-married,upper
3375,6,1,Husband,1961,9,33,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,Private,0,0,1,2080,1378,Sales,Male,15141,Secondary,Married-civ-spouse,upper
4429,5,3,Not-in-family,1946,9,45,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,60,Private,0,0,1,3120,1192,Craft-repair,Female,15141,Secondary,Widowed,upper
4079,4,1,Husband,1951,9,41,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,State-gov,0,0,1,2080,1334,Craft-repair,Male,15141,Secondary,Married-civ-spouse,upper
2930,4,3,Husband,1942,14,36,United-States,White,in-person,0,USD,Masters,0,1994,1.0,40,Private,0,0,1,2080,1033,Exec-managerial,Male,15141,Higher,Married-civ-spouse,middle
1689,5,3,Own-child,1958,14,19,United-States,White,in-person,0,USD,Masters,0,1994,1.0,40,State-gov,0,0,1,2080,1415,Prof-specialty,Female,15141,Higher,Never-married,middle
3960,7,0,Husband,1932,13,66,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,20,Private,0,0,1,1040,1025,Sales,Male,15141,Higher,Married-civ-spouse,upper
3020,4,2,Husband,1945,10,30,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,State-gov,0,0,1,2080,1170,Protective-serv,Male,15141,Secondary,Married-civ-spouse,middle
2381,7,2,Husband,1950,4,44,United-States,White,in-person,0,USD,7th-8th,0,1994,1.0,35,Private,0,0,1,1820,1310,Craft-repair,Male,15141,Primary,Married-civ-spouse,middle
638,5,3,Not-in-family,1954,11,40,United-States,White,in-person,0,USD,Assoc-voc,0,1994,1.0,60,Private,0,0,1,3120,1261,Craft-repair,Female,15141,Secondary,Separated,lower
3492,6,3,Own-child,1975,7,34,United-States,White,in-person,0,USD,11th,0,1994,1.0,24,Private,0,0,1,1248,1093,Handlers-cleaners,Male,15141,Primary,Never-married,upper
1139,6,1,Own-child,1964,9,47,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,48,Private,0,0,1,2496,1123,Craft-repair,Male,15141,Secondary,Never-married,lower
447,5,0,Husband,1952,10,55,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1394,Machine-op-inspct,Male,15141,Secondary,Married-civ-spouse,lower
2867,7,2,Not-in-family,1953,13,52,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,45,Private,0,0,1,2340,1157,Prof-specialty,Male,15141,Higher,Divorced,middle
2688,5,1,Husband,1959,9,55,United-States,White,in-person,2885,USD,HS-grad,0,1994,1.0,40,Private,1,2885,1,2080,1064,Transport-moving,Male,15141,Secondary,Married-civ-spouse,middle
2307,6,5,Husband,1946,10,52,United-States,Black,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1284,Sales,Male,15141,Secondary,Married-civ-spouse,middle
4095,5,3,Husband,1954,6,45,United-States,White,in-person,0,USD,10th,0,1994,1.0,50,Private,0,0,1,2600,1359,Craft-repair,Male,15141,Primary,Married-civ-spouse,upper
2399,5,3,Own-child,1976,7,50,United-States,White,in-person,0,USD,11th,0,1994,1.0,20,Private,0,0,1,1040,1024,Sales,Male,15141,Primary,Never-married,middle
3192,7,0,Own-child,1975,9,52,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,30,Private,0,0,1,1560,1429,Sales,Female,15141,Secondary,Never-married,middle
621,6,3,Other-relative,1929,7,61,United-States,White,in-person,0,USD,11th,0,1994,1.0,40,Private,0,0,1,2080,1259,Machine-op-inspct,Male,15141,Primary,Divorced,lower
2836,4,2,Not-in-family,1972,9,45,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,25,Private,0,0,1,1300,1143,Other-service,Male,15141,Secondary,Never-married,middle
2296,4,1,Husband,1948,15,26,United-States,White,in-person,0,USD,Prof-school,1902,1994,1.0,45,Self-emp-inc,1,-1902,1,2340,1059,Prof-specialty,Male,15141,Higher,Married-civ-spouse,middle
1756,5,3,Not-in-family,1959,9,51,United-States,Black,in-person,0,USD,HS-grad,0,1994,1.0,40,Private,0,0,1,2080,1142,Other-service,Female,15141,Secondary,Separated,middle
1981,5,0,Wife,1956,13,60,United-States,Black,in-person,0,USD,Bachelors,1887,1994,1.0,40,Local-gov,1,-1887,1,2080,1497,Prof-specialty,Female,15141,Higher,Married-civ-spouse,middle
3327,3,0,Unmarried,1957,9,67,Nicaragua,White,in-person,3887,USD,HS-grad,0,1994,1.0,40,Private,1,3887,1,2080,1499,Handlers-cleaners,Female,15141,Secondary,Never-married,upper
3646,7,6,Husband,1947,11,62,United-States,White,in-person,0,USD,Assoc-voc,0,1994,1.0,48,Private,0,0,1,2496,1006,Handlers-cleaners,Male,15141,Secondary,Married-civ-spouse,upper
2769,7,1,Own-child,1977,8,39,United-States,White,in-person,0,USD,12th,0,1994,1.0,20,Private,0,0,0,1040,1119,Sales,Female,15141,Primary,Never-married,middle
1978,6,3,Husband,1958,13,47,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,50,Private,0,0,1,2600,1243,Exec-managerial,Male,15141,Higher,Married-civ-spouse,middle
4011,4,0,Husband,1960,10,44,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1355,Craft-repair,Male,15141,Secondary,Married-civ-spouse,upper
3734,4,1,Not-in-family,1940,9,62,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,42,Private,0,0,1,2184,1221,Tech-support,Male,15141,Secondary,Divorced,upper
677,7,0,Wife,1958,14,23,United-States,White,in-person,0,USD,Masters,0,1994,1.0,50,Private,0,0,1,2600,1412,Prof-specialty,Female,15141,Higher,Married-civ-spouse,lower
1068,3,0,Not-in-family,1957,10,44,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1100,Exec-managerial,Female,15141,Secondary,Divorced,lower
1290,6,5,Husband,1955,3,46,Mexico,White,in-person,0,USD,5th-6th,0,1994,1.0,40,Private,0,0,1,2080,1260,Handlers-cleaners,Male,15141,Primary,Married-civ-spouse,lower
2025,6,3,Not-in-family,1940,4,21,Cuba,White,in-person,0,USD,7th-8th,0,1994,1.0,45,Self-emp-not-inc,0,0,1,2340,1393,Transport-moving,Male,15141,Primary,Divorced,middle
2700,6,0,Husband,1950,9,44,United-States,White,in-person,15024,USD,HS-grad,0,1994,1.0,60,Self-emp-not-inc,1,15024,1,3120,1434,Farming-fishing,Male,15141,Secondary,Married-civ-spouse,middle
2232,6,3,Husband,1927,13,74,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,45,Private,0,0,1,2340,1429,Exec-managerial,Male,15141,Higher,Married-civ-spouse,middle
4301,7,5,Not-in-family,1964,13,46,United-States,White,in-person,0,USD,Bachelors,2444,1994,1.0,55,Self-emp-not-inc,1,-2444,1,2860,1452,Sales,Male,15141,Higher,Divorced,upper
1773,6,1,Husband,1962,13,48,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,40,Private,0,0,1,2080,1491,Sales,Male,15141,Higher,Married-civ-spouse,middle
2924,4,2,Not-in-family,1957,11,58,United-States,White,in-person,0,USD,Assoc-voc,0,1994,1.0,40,Private,0,0,1,2080,1020,Sales,Female,15141,Secondary,Divorced,middle
1757,7,3,Own-child,1959,9,35,United-States,White,in-person,6849,USD,HS-grad,0,1994,1.0,40,Private,1,6849,1,2080,1055,Adm-clerical,Female,15141,Secondary,Never-married,middle
3995,5,2,Husband,1966,10,41,United-States,White,in-person,7298,USD,Some-college,0,1994,1.0,40,Self-emp-not-inc,1,7298,1,2080,1269,Craft-repair,Male,15141,Secondary,Married-civ-spouse,upper
4148,5,3,Not-in-family,1953,10,43,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,45,Private,0,0,1,2340,1374,Prof-specialty,Female,15141,Secondary,Never-married,upper
622,7,3,Husband,1957,10,52,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1347,Exec-managerial,Male,15141,Secondary,Married-civ-spouse,lower
3450,6,1,Husband,1942,9,36,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,Self-emp-inc,0,0,1,2080,1268,Sales,Male,15141,Secondary,Married-civ-spouse,upper
2626,5,0,Husband,1955,11,44,United-States,White,in-person,0,USD,Assoc-voc,0,1994,1.0,60,Self-emp-not-inc,0,0,1,3120,1034,Farming-fishing,Male,15141,Secondary,Married-civ-spouse,middle
4118,4,3,Husband,1966,9,27,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,44,Private,0,0,1,2288,1102,Craft-repair,Male,15141,Secondary,Married-civ-spouse,upper
2955,7,3,Husband,1943,14,52,United-States,White,in-person,7688,USD,Masters,0,1994,1.0,45,Private,1,7688,1,2340,1216,Prof-specialty,Male,15141,Higher,Married-civ-spouse,middle
4513,4,2,Not-in-family,1961,13,62,United-States,White,in-person,0,USD,Bachelors,1590,1994,1.0,40,Private,1,-1590,1,2080,1357,Sales,Male,15141,Higher,Never-married,upper
4522,6,1,Husband,1950,10,60,United-States,White,in-person,7688,USD,Some-college,0,1994,1.0,40,Private,1,7688,1,2080,1262,Tech-support,Male,15141,Secondary,Married-civ-spouse,upper
2516,5,4,Not-in-family,1958,12,26,United-States,Black,in-person,10520,USD,Assoc-acdm,0,1994,1.0,43,Private,1,10520,1,2236,1418,Sales,Male,15141,Secondary,Never-married,middle
1667,4,3,Own-child,1966,10,67,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,55,Private,0,0,1,2860,1358,Sales,Male,15141,Secondary,Never-married,middle
426,5,4,Husband,1962,9,31,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,Local-gov,0,0,1,2080,1441,Craft-repair,Male,15141,Secondary,Married-civ-spouse,lower
949,4,1,Not-in-family,1968,13,34,United-States,White,in-person,6849,USD,Bachelors,0,1994,1.0,65,Private,1,6849,1,3380,1172,Adm-clerical,Male,15141,Higher,Never-married,lower
1872,5,4,Husband,1960,9,63,Puerto-Rico,White,in-person,0,USD,HS-grad,0,1994,1.0,40,Private,0,0,1,2080,1275,Transport-moving,Male,15141,Secondary,Married-civ-spouse,middle
4515,3,1,Husband,1951,9,38,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,Private,0,0,1,2080,1355,Craft-repair,Male,15141,Secondary,Married-civ-spouse,upper
910,4,3,Husband,1935,9,48,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,Private,0,0,1,2080,1312,Craft-repair,Male,15141,Secondary,Married-civ-spouse,lower
1647,4,3,Husband,1947,9,29,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,49,Private,0,0,1,2548,1184,Exec-managerial,Male,15141,Secondary,Married-civ-spouse,middle
3042,5,2,Husband,1962,13,64,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,44,Private,0,0,1,2288,1174,Craft-repair,Male,15141,Higher,Married-civ-spouse,middle
3967,7,2,Husband,1953,10,44,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1322,Tech-support,Male,15141,Secondary,Married-civ-spouse,upper
2982,4,1,Not-in-family,1973,9,44,United-States,Black,in-person,0,USD,HS-grad,0,1994,1.0,50,Private,0,0,1,2600,1075,Other-service,Female,15141,Secondary,Never-married,middle
691,4,3,Husband,1930,9,61,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,15,Self-emp-not-inc,0,0,1,780,1126,Sales,Male,15141,Secondary,Married-civ-spouse,lower
2235,7,6,Husband,1961,14,46,Germany,White,in-person,0,USD,Masters,1902,1994,1.0,45,Private,1,-1902,1,2340,1467,Exec-managerial,Male,15141,Higher,Married-civ-spouse,middle
2254,5,0,Husband,1955,10,25,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1433,Craft-repair,Male,15141,Secondary,Married-civ-spouse,middle
348,6,1,Own-child,1965,9,61,United-States,Asian-Pac-Islander,in-person,0,USD,HS-grad,0,1994,1.0,26,Private,0,0,1,1352,1123,Handlers-cleaners,Male,15141,Secondary,Never-married,lower
1695,5,3,Own-child,1970,9,40,United-States,Black,in-person,0,USD,HS-grad,0,1994,1.0,50,Private,0,0,1,2600,1057,Farming-fishing,Male,15141,Secondary,Never-married,middle
644,6,5,Husband,1960,10,43,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,55,Private,0,0,1,2860,1123,Sales,Male,15141,Secondary,Married-civ-spouse,lower
4130,7,6,Husband,1958,10,57,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,42,Local-gov,0,0,1,2184,1156,Tech-support,Male,15141,Secondary,Married-civ-spouse,upper
4265,7,6,Husband,1940,13,84,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,40,Private,0,0,1,2080,1397,Sales,Male,15141,Higher,Married-civ-spouse,upper
665,5,1,Own-child,1950,10,57,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1190,Handlers-cleaners,Male,15141,Secondary,Divorced,lower
531,4,0,Other-relative,1963,7,31,United-States,Black,in-person,0,USD,11th,1721,1994,1.0,40,Private,1,-1721,1,2080,1396,Handlers-cleaners,Male,15141,Primary,Divorced,lower
2722,4,0,Husband,1943,13,47,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,40,Local-gov,0,0,1,2080,1054,Protective-serv,Male,15141,Higher,Married-civ-spouse,middle
3885,4,0,Husband,1964,13,42,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,40,Private,0,0,1,2080,1211,Adm-clerical,Male,15141,Higher,Married-civ-spouse,upper
